# adapted from https://github.com/sandavid/paris-metro-map/blob/master/Connexions_IDF.csv

D1;Gare de Lyon;Maisons Alfort Alfortville
D1;Maisons Alfort Alfortville;Gare de Lyon
D1;Maisons Alfort Alfortville;Le Vert de Maisons
D1;Le Vert de Maisons;Maisons Alfort Alfortville
D1;Le Vert de Maisons;Villeneuve Pairie
D1;Villeneuve Pairie;Le Vert de Maisons
D1;Villeneuve Pairie;Villeneuve Triage
D1;Villeneuve Triage;Villeneuve Pairie
D1;Villeneuve Triage;Villeneuve St Georges
D1;Villeneuve St Georges;Villeneuve Triage

D2;Melun;La Mee sur Seine
D2;La Mee sur Seine;Melun
D2;La Mee sur Seine;Cesson
D2;Cesson;La Mee sur Seine
D2;Cesson;Savigny le Temple Nandy
D2;Savigny le Temple Nandy;Cesson
D2;Savigny le Temple Nandy;Lieusaint Moissy
D2;Lieusaint Moissy;Savigny le Temple Nandy
D2;Lieusaint Moissy;Combs la Ville Quincy
D2;Combs la Ville Quincy;Lieusaint Moissy
D2;Combs la Ville Quincy;Boussy St Antoine
D2;Boussy St Antoine;Combs la Ville Quincy
D2;Boussy St Antoine;Brunoy
D2;Brunoy;Boussy St Antoine
D2;Brunoy;Yerres
D2;Yerres;Brunoy
D2;Yerres;Montgeron Crosne
D2;Montgeron Crosne;Yerres
D2;Montgeron Crosne;Villeneuve St Georges
D2;Villeneuve St Georges;Montgeron Crosne

D4;Malesherbes (Loiret);Boigneville
D4;Boigneville;Malesherbes (Loiret)
D4;Boigneville;Buno Gironville
D4;Buno Gironville;Boigneville
D4;Buno Gironville;Maisse
D4;Maisse;Buno Gironville
D4;Maisse;Boutigny
D4;Boutigny;Maisse
D4;Boutigny;La ferte Alais
D4;La ferte Alais;Boutigny
D4;La ferte Alais;Ballancourt
D4;Ballancourt;La ferte Alais
D4;Ballancourt;Mennecy
D4;Mennecy;Ballancourt
D4;Mennecy;Moulin Galant
D4;Moulin Galant;Mennecy
D4;Moulin Galant;Corbeil Essonnes
D4;Corbeil Essonnes;Moulin Galant
D4;Corbeil Essonnes;Le Bras de Fer
D4;Le Bras de Fer;Corbeil Essonnes
D4;Le Bras de Fer;Evry Courcouronnnnes
D4;Evry Courcouronnnnes;Le Bras de Fer
D4;Evry Courcouronnnnes;Orangis Bois de l'Epine
